SongName,Era,Lyrics,LineNum
Miss Americana & The Heartbreak Prince,Lover Act,"You know I adore you, I'm crazier for you",0
Miss Americana & The Heartbreak Prince,Lover Act,"Than I was at 16, lost in a film scene",1
Miss Americana & The Heartbreak Prince,Lover Act,"Waving homecoming queens, marching band playing",2
Miss Americana & The Heartbreak Prince,Lover Act,I'm lost in the lights,3
Miss Americana & The Heartbreak Prince,Lover Act,American glory faded before me,4
Miss Americana & The Heartbreak Prince,Lover Act,"Now I'm feeling hopeless, ripped up my prom dress",5
Miss Americana & The Heartbreak Prince,Lover Act,"Running through rose thorns, I saw the scoreboard",6
Miss Americana & The Heartbreak Prince,Lover Act,And ran for my life (Ah),7
Miss Americana & The Heartbreak Prince,Lover Act,No cameras catch my pageant smile,8
Miss Americana & The Heartbreak Prince,Lover Act,"I counted days, I counted miles",9
Miss Americana & The Heartbreak Prince,Lover Act,"To see you there, to see you there",10
Miss Americana & The Heartbreak Prince,Lover Act,"It's been a long time coming, but",11
Miss Americana & The Heartbreak Prince,Lover Act,"It's you and me, that's my whole world",12
Miss Americana & The Heartbreak Prince,Lover Act,"They whisper in the hallway, She's a bad, bad girl (Okay)",13
Miss Americana & The Heartbreak Prince,Lover Act,The whole school is rolling fake dice,14
Miss Americana & The Heartbreak Prince,Lover Act,"You play stupid games, you win stupid prizes",15
Miss Americana & The Heartbreak Prince,Lover Act,"It's you and me, there's nothing like this",16
Miss Americana & The Heartbreak Prince,Lover Act,Miss Americana and The Heartbreak Prince (Okay),17
Miss Americana & The Heartbreak Prince,Lover Act,"We're so sad, we paint the town blue",18
Miss Americana & The Heartbreak Prince,Lover Act,Voted most likely to run away with you,19
Miss Americana & The Heartbreak Prince,Lover Act,"My team is losing, battered and bruising",20
Miss Americana & The Heartbreak Prince,Lover Act,I see the high fives between the bad guys,21
Miss Americana & The Heartbreak Prince,Lover Act,"Leave with my head hung, you are the only one",22
Miss Americana & The Heartbreak Prince,Lover Act,Who seems to care,23
Miss Americana & The Heartbreak Prince,Lover Act,American stories burning before me,24
Miss Americana & The Heartbreak Prince,Lover Act,"I'm feeling helpless, the damsels are depressed",25
Miss Americana & The Heartbreak Prince,Lover Act,"Boys will be boys then, where are the wise men?",26
